Rank,Song,Artist,Year,Lyrics
1,"Tik Tok",Kesha,2010,b' Wake up in the morning feelin like P Diddy Grab my glasses I m out the door I m gonna hit this city Before I leave brush my teeth with a bottle of Jack Cause when I leave for the night I ain t coming back I m talkin pedicure on our toes toes Tryin on all our clothes clothes Boys blowin up our phones phones Drop toppin playin our favorite CDs Pullin up to the parties Tryna get a little bit tipsy Don t stop make it pop DJ blow my speakers up Tonight I ma fight Till we see the sunlight Tick tock on the clock But the party don t stop no Oh whoa whoa oh Oh whoa whoa oh Don t stop make it pop DJ blow my speakers up Tonight I ma fight Till we see the sunlight Tick tock on the clock But the party don t stop no Oh whoa whoa oh Oh whoa whoa oh Ain t got a care in the world but got plenty of beer Ain t got no money in my pocket but I m already here And now the dudes are linin up cause they hear we got swagger But we kick em to the curb unless they look like Mick Jagger I m talkin about errbody gettin crunk crunk Boys try to touch my junk junk Gonna smack him if he gettin too drunk drunk Now now we go until they kick us out out Or the police shut us down down Police shut us down down Po po shut us down Don t stop make it pop DJ blow my speakers up Tonight I ma fight Till we see the sunlight Tick tock on the clock But the party don t stop no Oh whoa whoa oh Oh whoa whoa oh Don t stop make it pop DJ blow my speakers up Tonight I ma fight Till we see the sunlight Tick tock on the clock But the party don t stop no Oh whoa whoa oh Oh whoa whoa oh You build me up you break me down My heart it pounds yeah you got me With my hands up you got me now You got that sound yeah you got me You build me up you break me down My heart it pounds yeah you got me With my hands up put your hands up Put your hands up Now the party don t start till I walk in Don t stop make it pop DJ blow my speakers up Tonight I ma fight Till we see the sunlight Tick tock on the clock But the party don t stop no Oh whoa whoa oh Oh whoa whoa oh Don t stop make it pop DJ blow my speakers up Tonight I ma fight Till we see the sunlight Tick tock on the clock But the party don t stop no Oh whoa whoa oh Oh whoa whoa oh'
2,"Need You Now",Lady Antebellum,2010,b' Picture perfect memories Scattered all around the floor Reachin for the phone cause I can t fight it anymore And I wonder if I ever cross your mind For me it happens all the time It s a quarter after one I m all alone and I need you now Said I wouldn t call but I lost all control and I need you now And I don t know how I can do without I just need you now Another shot of whiskey Can t stop lookin at the door Wishing you d come sweeping In the way you did before And I wonder if I ever cross your mind For me it happens all the time It s a quarter after one I m little drunk and I need you now Said I wouldn t call but I lost all control and I need you now And I don t know how I can do without I just need you now Yes I d rather hurt than feel nothin at all It s a quarter after one I m all alone and I need you now And I said I wouldn t call but I m a little drunk and I need you now And I don t know how I can do without I just need you now I just need you now Oh baby I need you now'
3,"Hey Soul Sister",Train,2010,b' Heyy Heeey Heey Your lipstick stains On the front lobe of my left side brains I knew I wouldn t forget you And so I went and let you Blow my mind Your sweet moonbeam The smell of you In every single dream I dream I knew when we collided You re the one I have decided Who s one of my kind Hey soul sister Ain t that Mr Mister On the radio stereo The way you move ain t fair you know Hey soul sister I don t want to miss a Single thing you do tonight Just in time I m so glad you have A one track mind like me You gave my life direction A game show love connection We can t deny I m so obsessed My heart is bound to beat right out My untrimmed chest I believe in you like a virgin you re Madonna And I m always gonna wanna Blow your mind Hey soul sister Ain t that Mr Mister On the radio stereo The way you move ain t fair you know Hey soul sister I don t want to miss a Single thing you do tonight Way you can cut a rug Watching you s the only drug I need You re so gangster I m so thug You re the only one I m dreaming of you see I can be myself now finally In fact there s nothing I can t be I want the world to see you be with me Hey soul sister Ain t that Mr Mister On the radio stereo The way you move ain t fair you know Hey soul sister I don t want to miss a Single thing you do tonight Hey soul sister I don t want to miss a Single thing you do tonight Heyy Heeey Heey Tonight Heyy Heeey Heey Tonight'
4,"California Gurls",Katy Perry,2010,b' Greetings loved ones Let s take a journey I know a place where the grass is really greener Warm wet and wild There must be something in the water Sipping gin and juice Laying underneath the palm trees The boys break their necks Trying to creep a little sneak peek You could travel the world But nothing comes close to the golden coast Once you party with us You ll be falling in love Oh oh oh oh oh oh oh California girls we re unforgettable Daisy Dukes bikinis on top Sun kissed skin so hot we ll melt your popsicle Oh oh oh oh oh oh oh oh oh oh oh oh California girls we re undeniable Fine fresh fierce we got it on lock West Coast represent now put your hands up Oh oh oh oh oh oh oh oh oh oh oh oh Sex on the beach We don t mind sand in our stilettos We freak in my Jeep horn honks Snoop Doggy Dogg on the stereo oh oh You could travel the world But nothing comes close to the golden coast Once you party with us You ll be falling in love Oh oh oh oh oh oh oh California girls we re unforgettable Daisy Dukes bikinis on top Sun kissed skin so hot we ll melt your popsicle Oh oh oh oh oh oh oh oh oh oh oh oh California girls we re undeniable Fine fresh fierce we got it on lock West Coast represent now put your hands up Oh oh oh oh oh oh oh oh oh oh oh oh Toned tan fit and ready Turn it up cause it s getting heavy Wild wild West Coast These are the girls I love the most I mean the ones I mean like she s the one Kiss her touch her squeeze her buns The girl s a freak She drive a Jeep and live on the beach I m okay I won t play I love the Bay just like I love L A Venice Beach and Palm Springs Summertime is everything Homeboys banging out All that ass hanging out Bikinis zucchinis martinis no weenies Just the king and a queenie Katy my lady Lookie here baby I m all up on ya Cause you representing California California girls we re unforgettable Daisy Dukes bikinis on top Sun kissed skin so hot we ll melt your popsicle Oh oh oh oh oh oh oh oh oh oh oh oh California girls we re undeniable Fine fresh fierce we got it on lock West Coast represent now put your hands up Oh oh oh oh oh oh oh oh oh oh oh oh West Coast West Coast aye aye California girls man Hahahaha I really wish you all could be California girls '
5,"OMG",Usher,2010,b' Oh my gosh Baby let me I did it again so I m gon let the beat rock Oh my Baby let me love you down There s so many ways to love you Baby I can break you down There s so many ways to love you Got me like Oh my gosh I m so in love I found you finally you make me want to say Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh my gosh You make me want to say Oh oh oh oh oh oh oh oh oh I fell in love with shawty when I seen her on the dance floor She was dancing sexy pop pop popping dropping dropping low Never ever has a lady hit me on the first sight This was something special this was just like dynamite Honey got a booty like pow pow pow Honey got some boobies like wow oh wow Girl you know I m loving your loving your style Check check check check check checking you out like Oh She got it all Sexy from her head to toe And I want it all it all it all Baby let me love you down There s so many ways to love you Baby I can break you down There s so many ways to love you Got me like Oh my gosh I m so in love I found you finally you make me want to say Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh my gosh You make me want to say You make me want to say Oh oh oh oh oh oh oh oh oh Feel so hot for honey out of all the girls up in the club This one got me whipped just off of one look yep I fell in love This one something special this one just like dynamite O o o o o o o out of sight Fell in love with honey like my oh my Honey looking wonderful fly so fly Honey like a supermodel my oh my Baby how you do that make a grown man cry Oh Baby you got it all Sexy from her head to toe And I want it all it all it all So honey let me love you down There s so many ways to love you Baby I can break you down There s so many ways to love you Got me like Oh my gosh I m so in love I found you finally you make me want to say Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh oh oh my gosh Oh my gosh Oh my Oh my Oh Oh my gosh Oh my gosh I did it again so I m gon let the beat rock Oh oh oh my oh oh Oh my my my my my my oh my gosh Oh oh oh my oh oh Oh my my my my my my oh my gosh Oh oh oh my oh oh Oh my my my my my my oh my gosh '
6,"Airplanes",B.o.B,2010,b' Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now wish right now Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now wish right now Yeah I could use a dream or a genie or a wish To go back to a place much simpler than this Cause after all the partyin and smashin and crashin And all the glitz and the glam and the fashion And all the pandemonium and all the madness There comes a time where you fade to the blackness And when you starin at that phone in your lap And you hopin but them people never call you back But that s just how the story unfolds You get another hand soon after you fold And when your plans unravel in the sand What would you wish for if you had one chance So airplane airplane sorry I m late I m on my way so don t close that gate If I don t make that then I ll switch my flight And I ll be right back at it by the end of the night Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now wish right now Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now wish right now Yeah yeah somebody take me back to the days Before this was a job before I got paid Before it ever mattered what I had in my bank Yeah back when I was tryna get a tip at Subway And back when I was rappin for the hell of it But nowadays we rappin to stay relevant I m guessin that if we can make some wishes out of airplanes Then maybe oh maybe I ll go back to the days Before the politics that we call the rap game And back when ain t nobody listened to my mixtape And back before I tried to cover up my slang But this is for Decatur what s up Bobby Ray So can I get a wish to end the politics And get back to the music that started this shit So here I stand and then again I say I m hopin we can make some wishes out of airplanes Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now wish right now Can we pretend that airplanes In the night sky are like shooting stars I could really use a wish right now Wish right now wish right now I could really use a wish right now I I I could really use a wish right now Like like like shooting stars I I I could really use a wish right now A wish a wish right now'
7,"Love the Way You Lie",Eminem,2010,b' Just gonna stand there and watch me burn Well that s all right because I like the way it hurts Just gonna stand there and hear me cry Well that s all right because I love the way you lie I love the way you lie I can t tell you what it really is I can only tell you what it feels like And right now it s a steel knife in my windpipe I can t breathe but I still fight while I can fight As long as the wrong feels right it s like I m in flight High off her love drunk from her hate It s like I m huffin paint and I love her the more I suffer I suffocate And right before I m about to drown she resuscitates me She fuckin hates me and I love it Wait Where you going I m leaving you No you ain t come back We re runnin right back here we go again It s so insane cause when it s goin good it s goin great I m Superman with the wind at his back she s Lois Lane But when it s bad it s awful I feel so ashamed I snap Who s that dude I don t even know his name I laid hands on her I ll never stoop so low again I guess I don t know my own strength Just gonna stand there and watch me burn Well that s all right because I like the way it hurts Just gonna stand there and hear me cry Well that s all right because I love the way you lie I love the way you lie I love the way you lie You ever love somebody so much You can barely breathe when you re with em You meet and neither one of you even know what hit em Got that warm fuzzy feelin yeah them chills used to get em Now you re gettin fuckin sick of lookin at em You swore you d never hit em never do nothin to hurt em Now you re in each other s face Spewin venom in your words when you spit em You push pull each other s hair scratch claw bit em Throw em down pin em So lost in the moments when you re in em It s the rage that s the culprit it controls you both So they say it s best to go your separate ways Guess that they don t know ya Cause today that was yesterday yesterday is over It s a different day sound like broken records playin over But you promised her next time you d show restraint You don t get another chance life is no Nintendo game But you lied again Now you get to watch her leave out the window Guess that s why they call it window pane Just gonna stand there and watch me burn Well that s all right because I like the way it hurts Just gonna stand there and hear me cry Well that s all right because I love the way you lie I love the way you lie I love the way you lie Now I know we said things did things that we didn t mean And we fall back into the same patterns same routines But your temper s just as bad as mine is You re the same as me when it comes to love You re just as blinded baby please Come back it wasn t you baby it was me Maybe our relationship isn t as crazy as it seems Maybe that s what happens when a tornado meets a volcano All I know is I love you too much to walk away though Come inside pick up your bags off the sidewalk Don t you hear sincerity in my voice when I talk Told you this is my fault look me in the eyeball Next time I m pissed I ll aim my fist at the drywall Next time There won t be no next time I apologize even though I know it s lies I m tired of the games I just want her back I know I m a liar if she ever tries to fuckin leave again I ma tie her to the bed and set this house on fire I m just gonna Just gonna stand there and watch me burn Well that s all right because I like the way it hurts Just gonna stand there and hear me cry Well that s all right because I love the way you lie I love the way you lie I love the way you lie'
8,"Bad Romance",Lady Gaga,2010,b' Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Ra ra ah ah ah Roma Roma ma Gaga Oh la la Want your bad romance Ra ra ah ah ah Roma Roma ma Gaga Oh la la Want your bad romance I want your ugly I want your disease I want your everything as long as it s free I want your love Love love love I want your love hey I want your drama the touch of your hand I want your leather studded kiss in the sand I want your love Love love love I want your love You know that I want you And you know that I need you I want it bad Your bad romance I want your love and I want your revenge You and me could write a bad romance Oh oh oh oh oh I want your love and all your lover s revenge You and me could write a bad romance Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Ra ra ah ah ah Roma roma ma Gaga Oh la la Want your bad romance I want your horror I want your design Cause you re a criminal as long as you re mine I want your love Love love love I want your love huh I want your psycho your vertigo shtick Want you in my rear window baby you re sick I want your love Love love love I want your love You know that I want you And you know that I need you I want it bad Your bad romance I want your love and I want your revenge You and me could write a bad romance Oh oh oh oh oh I want your love and all your lover s revenge You and me could write a bad romance Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Ra ra ah ah ah Roma roma ma Gaga Oh la la Want your bad romance Ra ra ah ah ah Roma roma ma Gaga Oh la la Want your bad romance Walk walk fashion baby Work it move that bitch crazy Walk walk fashion baby Work it move that bitch crazy Walk walk fashion baby Work it move that bitch crazy Walk walk passion baby Work it I m a free bitch baby I want your love and I want your revenge I want your love I don t wanna be friends Je veux ton amour et je veux ta revanche Je veux ton amour I don t wanna be friends No I don t wanna be friends I don t wanna be friends Want your bad romance Want your bad romance I want your love and I want your revenge You and me could write a bad romance Oh oh oh oh oh I want your love and all your lover s revenge You and me could write a bad romance Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Oh oh oh oh oh oh oh oh oh oh oh oh Caught in a bad romance Ra ra ah ah ah Roma Roma ma Gaga Oh la la Want your bad romance'
9,"Dynamite",Taio Cruz,2010,b' I came to dance dance dance dance I hit the floor cause that s my plans plans plans plans I m wearing all my favorite brands brands brands brands Give me space for both my hands hands hands hands Yeah yeah Cause it goes on and on and on And it goes on and on and on Yeah I throw my hands up in the air sometimes Saying Ayo Gotta let go I wanna celebrate and live my life Saying Ayo Baby let s go Cause we gon rock this club We gon go all night We gon light it up Like it s dynamite Cause I told you once Now I told you twice We gon light it up Like it s dynamite I came to move move move move Get out the way of me and my crew crew crew crew I m in the club so I m gonna do do do do Just what the fuck came here to do do do do Yeah yeah Cause it goes on and on and on And it goes on and on and on Yeah I throw my hands up in the air sometimes Saying Ayo Gotta let go I wanna celebrate and live my life Saying Ayo Baby let s go Cause we gon rock this club We gon go all night We gon light it up Like it s dynamite Cause I told you once Now I told you twice We gon light it up Like it s dynamite I m gonna take it all out I m gonna be the last one standing I m over it all and I m gonna be the last one landing Cause I I I believe it And I I I I just want it all I just want it all I m gonna put my hands in the air Hands hands in the air Put your hands in the air I throw my hands up in the air sometimes Saying Ayo Gotta let go I wanna celebrate and live my life Saying Ayo Baby let s go Cause we gon rock this club We gon go all night We gon light it up Like it s dynamite Cause I told you once Now I told you twice We gon light it up Like it s dynamite '
10,"Break Your Heart",Taio Cruz,2010,b' Whoa oh Whoa oh Whoa oh Whoa oh Now listen to me baby Before I love and leave you They call me heart breaker I don t wanna deceive you If you fall for me I m not easy to please I m might tear you apart Told you from the start baby from the start I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart There s no point trying to hide it No point trying to evade it I know I got a problem Problem with misbehavin If you fall for me I m not easy to please I might tear you apart Told you from the start baby from the start I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart Whoa oh Whoa oh Whoa oh Whoa oh Whoa oh And I know karma s gonna get me back for being so cold Like a big bad wolf I m born to be bad and bad to the bone If you fall for me I m only gonna tear you apart Told you from the start I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart I m only gonna break break your break break your heart Whoa oh Whoa oh Whoa oh Whoa oh'
